Simulation parameters:
- time steps: 30
- mean velocity: 0.1
- Reynolds number: 100000

L 	Error (L2) 	Convergence Rate 	 beta
128, 	1.77209e-05,	 0.99923258937136272273
139, 	1.81326e-05,	-0.278536,	 0.99916669497638965769
152, 	1.78853e-05,	0.15357,	 0.99908883098614065243
165, 	1.71762e-05,	0.492927,	 0.99901097913066061462
181, 	1.60002e-05,	0.76633,	 0.99891517811656549419
197, 	1.47141e-05,	0.989247,	 0.99881939547454912098
215, 	1.32906e-05,	1.16376,	 0.99871166195607663507
234, 	1.18987e-05,	1.30631,	 0.99859796845229298334
256, 	1.04691e-05,	1.42456,	 0.99846635567767905162
279, 	9.18372e-06,	1.52257,	 0.99832879759282966425
304, 	8.00444e-06,	1.60152,	 0.99817932091864436384
331, 	6.94609e-06,	1.66667,	 0.99801793637835256590
362, 	5.95377e-06,	1.72189,	 0.99783270735961482334
394, 	5.12579e-06,	1.76774,	 0.99764157531595309969
430, 	4.37729e-06,	1.80541,	 0.99742663927068164753
469, 	3.73193e-06,	1.83724,	 0.99719389637559896489
512, 	3.16904e-06,	1.86382,	 0.99693740828175847479
558, 	2.6944e-06,	1.88592,	 0.99666317170114471224
608, 	2.28819e-06,	1.90421,	 0.99636525953322274685
663, 	1.93775e-06,	1.91958,	 0.99603776178362468663
724, 	1.63465e-06,	1.93261,	 0.99567478871780989991
789, 	1.38311e-06,	1.94349,	 0.99528830516335664580
861, 	1.16628e-06,	1.95256,	 0.99486055039665088895
939, 	9.83959e-07,	1.96021,	 0.99439756412372704020
1024, 	8.29786e-07,	1.96659,	 0.99389351822403160241
1116, 	7.00304e-07,	1.97192,	 0.99334853818829116356
1217, 	5.90095e-07,	1.9764,	 0.99275093268950131975
1327, 	4.97172e-07,	1.98017,	 0.99210089269238321830
1448, 	4.1816e-07,	1.98335,	 0.99138683121044368640
1579, 	3.5208e-07,	1.98602,	 0.99061491430190373730
1722, 	2.96334e-07,	1.98825,	 0.98977365855976051634
1878, 	2.49361e-07,	1.99013,	 0.98885755309176193162
2048, 	2.09832e-07,	1.9917,	 0.98786116204084206682
