128,    1.349e-06
139,    1.15626e-06,    1.87005
152,    9.76436e-07,    1.89069
165,    8.34932e-07,    1.90773
181,    6.98817e-07,    1.92284
197,    5.93176e-07,    1.93489
215,    5.00409e-07,    1.94506
234,    4.24122e-07,    1.9532
256,    3.55552e-07,    1.96259
279,    3.00163e-07,    1.96835
304,    2.53445e-07,    1.97138
331,    2.14198e-07,    1.97729
362,    1.79397e-07,    1.98041
394,    1.51667e-07,    1.98227
430,    1.27445e-07,    1.99017
469,    1.0726e-07,     1.98612
512,    9.00688e-08,    1.99126
558,    7.59237e-08,    1.98578
608,    6.39138e-08,    2.00654
663,    5.38005e-08,    1.98906
724,    4.50964e-08,    2.00508
789,    3.79786e-08,    1.99803
861,    3.18713e-08,    2.00757
939,    2.68246e-08,    1.98784
1024,   2.24982e-08,    2.02965
