128,    5.95972e-05
139,    5.99657e-05,    -0.0747747
152,    5.6746e-05,     0.617257
165,    5.26326e-05,    0.916969
181,    4.95012e-05,    0.662742
197,    4.94267e-05,    0.0177773
215,    5.20947e-05,    -0.601281
234,    5.64365e-05,    -0.945327
256,    6.13013e-05,    -0.920186
279,    6.5281e-05,     -0.731106
304,    6.76959e-05,    -0.423276
331,    6.8312e-05,     -0.106472
362,    6.71651e-05,    0.18913
394,    6.49406e-05,    0.397616
430,    6.02443e-05,    0.858532
469,    5.60519e-05,    0.830814
512,    5.0587e-05,     1.16941
558,    4.59902e-05,    1.10732
608,    3.90988e-05,    1.89166
663,    3.57546e-05,    1.03249
724,    3.01981e-05,    1.91895
789,    2.65382e-05,    1.50269
861,    2.31419e-05,    1.5681
939,    1.99373e-05,    1.7188
1024,   1.55442e-05,    2.87232
